I0707 14:02:03.473352  405018 options.go:263] external host was not specified, using 192.168.3.9
W0707 14:02:03.755186  405018 logging.go:55] [core] [Channel #122 SubChannel #123]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:34428->127.0.0.1:39055: use of closed network connection
W0707 14:02:03.755881  405018 logging.go:55] [core] [Channel #127 SubChannel #128]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:34444->127.0.0.1:39055: use of closed network connection"
W0707 14:02:03.756382  405018 logging.go:55] [core] [Channel #132 SubChannel #133]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.756999  405018 logging.go:55] [core] [Channel #136 SubChannel #137]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.757574  405018 logging.go:55] [core] [Channel #140 SubChannel #141]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.758063  405018 logging.go:55] [core] [Channel #144 SubChannel #145]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.758446  405018 logging.go:55] [core] [Channel #148 SubChannel #149]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.759194  405018 logging.go:55] [core] [Channel #152 SubChannel #153]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.759807  405018 logging.go:55] [core] [Channel #156 SubChannel #157]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.760518  405018 logging.go:55] [core] [Channel #160 SubChannel #161]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.761272  405018 logging.go:55] [core] [Channel #164 SubChannel #165]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:34616->127.0.0.1:39055: use of closed network connection"
W0707 14:02:03.761972  405018 logging.go:55] [core] [Channel #169 SubChannel #170]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.763476  405018 logging.go:55] [core] [Channel #173 SubChannel #174]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.764253  405018 logging.go:55] [core] [Channel #177 SubChannel #178]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:34690->127.0.0.1:39055: use of closed network connection"
W0707 14:02:03.764848  405018 logging.go:55] [core] [Channel #182 SubChannel #183]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.765669  405018 logging.go:55] [core] [Channel #186 SubChannel #187]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:34730->127.0.0.1:39055: use of closed network connection
W0707 14:02:03.766171  405018 logging.go:55] [core] [Channel #191 SubChannel #192]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:34744->127.0.0.1:39055: use of closed network connection
W0707 14:02:03.766845  405018 logging.go:55] [core] [Channel #196 SubChannel #197]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.768089  405018 logging.go:55] [core] [Channel #200 SubChannel #201]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
I0707 14:02:03.768390  405018 apis.go:112] API group "storagemigration.k8s.io" is not enabled, skipping.
W0707 14:02:03.768909  405018 logging.go:55] [core] [Channel #204 SubChannel #205]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.769690  405018 logging.go:55] [core] [Channel #208 SubChannel #209]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:34802->127.0.0.1:39055: use of closed network connection"
W0707 14:02:03.770621  405018 logging.go:55] [core] [Channel #213 SubChannel #214]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.771452  405018 logging.go:55] [core] [Channel #217 SubChannel #218]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.772292  405018 logging.go:55] [core] [Channel #221 SubChannel #222]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.773013  405018 logging.go:55] [core] [Channel #225 SubChannel #226]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.773609  405018 logging.go:55] [core] [Channel #229 SubChannel #230]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.774185  405018 logging.go:55] [core] [Channel #233 SubChannel #234]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.774914  405018 logging.go:55] [core] [Channel #237 SubChannel #238]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.775628  405018 logging.go:55] [core] [Channel #241 SubChannel #242]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.776220  405018 logging.go:55] [core] [Channel #245 SubChannel #246]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:34934->127.0.0.1:39055: use of closed network connection
W0707 14:02:03.776682  405018 logging.go:55] [core] [Channel #250 SubChannel #251]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.777194  405018 logging.go:55] [core] [Channel #254 SubChannel #255]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.777747  405018 logging.go:55] [core] [Channel #258 SubChannel #259]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.778513  405018 logging.go:55] [core] [Channel #262 SubChannel #263]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:39055: operation was canceled"
W0707 14:02:03.779070  405018 logging.go:55] [core] [Channel #266 SubChannel #267]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:39055", ServerName: "127.0.0.1:39055", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:35012->127.0.0.1:39055: use of closed network connection"
I0707 14:02:03.786910  405018 handler.go:304] Adding GroupVersion authentication.k8s.io v1 to ResourceManager
W0707 14:02:03.786944  405018 genericapiserver.go:819] Skipping API authentication.k8s.io/v1beta1 because it has no resources.
W0707 14:02:03.786949  405018 genericapiserver.go:819] Skipping API authentication.k8s.io/v1alpha1 because it has no resources.
I0707 14:02:03.787123  405018 handler.go:304] Adding GroupVersion authorization.k8s.io v1 to ResourceManager
W0707 14:02:03.787130  405018 genericapiserver.go:819] Skipping API authorization.k8s.io/v1beta1 because it has no resources.
I0707 14:02:03.787446  405018 handler.go:304] Adding GroupVersion autoscaling v2 to ResourceManager
I0707 14:02:03.787698  405018 handler.go:304] Adding GroupVersion autoscaling v1 to ResourceManager
W0707 14:02:03.787705  405018 genericapiserver.go:819] Skipping API autoscaling/v2beta1 because it has no resources.
W0707 14:02:03.787708  405018 genericapiserver.go:819] Skipping API autoscaling/v2beta2 because it has no resources.
I0707 14:02:03.788204  405018 handler.go:304] Adding GroupVersion batch v1 to ResourceManager
W0707 14:02:03.788213  405018 genericapiserver.go:819] Skipping API batch/v1beta1 because it has no resources.
I0707 14:02:03.788558  405018 handler.go:304] Adding GroupVersion certificates.k8s.io v1 to ResourceManager
