I0707 15:02:07.236375  412186 options.go:263] external host was not specified, using 192.168.3.9
W0707 15:02:07.402900  412186 logging.go:55] [core] [Channel #91 SubChannel #92]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:33628->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.404554  412186 logging.go:55] [core] [Channel #96 SubChannel #97]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:33644->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.405134  412186 logging.go:55] [core] [Channel #101 SubChannel #102]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:33672->127.0.0.1:46225: use of closed network connection
I0707 15:02:07.413484  412186 handler.go:304] Adding GroupVersion  v1 to ResourceManager
I0707 15:02:07.413661  412186 apis.go:112] API group "internal.apiserver.k8s.io" is not enabled, skipping.
W0707 15:02:07.414053  412186 logging.go:55] [core] [Channel #106 SubChannel #107]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.415126  412186 logging.go:55] [core] [Channel #110 SubChannel #111]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.415900  412186 logging.go:55] [core] [Channel #114 SubChannel #115]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.416710  412186 logging.go:55] [core] [Channel #118 SubChannel #119]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:33746->127.0.0.1:46225: use of closed network connection
W0707 15:02:07.417763  412186 logging.go:55] [core] [Channel #123 SubChannel #124]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:33764->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.418447  412186 logging.go:55] [core] [Channel #128 SubChannel #129]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.419116  412186 logging.go:55] [core] [Channel #132 SubChannel #133]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.420135  412186 logging.go:55] [core] [Channel #136 SubChannel #137]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:33812->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.420590  412186 logging.go:55] [core] [Channel #141 SubChannel #142]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.421152  412186 logging.go:55] [core] [Channel #145 SubChannel #146]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.422447  412186 logging.go:55] [core] [Channel #149 SubChannel #150]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:33882->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.423888  412186 logging.go:55] [core] [Channel #154 SubChannel #155]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:33886->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.425716  412186 logging.go:55] [core] [Channel #159 SubChannel #160]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:33914->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.426510  412186 logging.go:55] [core] [Channel #164 SubChannel #165]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.427184  412186 logging.go:55] [core] [Channel #168 SubChannel #169]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.427729  412186 logging.go:55] [core] [Channel #172 SubChannel #173]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.429136  412186 logging.go:55] [core] [Channel #176 SubChannel #177]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:33978->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.431397  412186 logging.go:55] [core] [Channel #181 SubChannel #182]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.432407  412186 logging.go:55] [core] [Channel #185 SubChannel #186]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.433066  412186 logging.go:55] [core] [Channel #189 SubChannel #190]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.433828  412186 logging.go:55] [core] [Channel #193 SubChannel #194]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.434486  412186 logging.go:55] [core] [Channel #197 SubChannel #198]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.435215  412186 logging.go:55] [core] [Channel #201 SubChannel #202]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.435784  412186 logging.go:55] [core] [Channel #205 SubChannel #206]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
I0707 15:02:07.436162  412186 apis.go:112] API group "storagemigration.k8s.io" is not enabled, skipping.
W0707 15:02:07.436641  412186 logging.go:55] [core] [Channel #209 SubChannel #210]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:34116->127.0.0.1:46225: use of closed network connection
W0707 15:02:07.436998  412186 logging.go:55] [core] [Channel #214 SubChannel #215]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.437677  412186 logging.go:55] [core] [Channel #218 SubChannel #219]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.438304  412186 logging.go:55] [core] [Channel #222 SubChannel #223]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.438853  412186 logging.go:55] [core] [Channel #226 SubChannel #227]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.439592  412186 logging.go:55] [core] [Channel #230 SubChannel #231]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.440039  412186 logging.go:55] [core] [Channel #234 SubChannel #235]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.440722  412186 logging.go:55] [core] [Channel #238 SubChannel #239]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:34248->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.441391  412186 logging.go:55] [core] [Channel #243 SubChannel #244]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.441783  412186 logging.go:55] [core] [Channel #247 SubChannel #248]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.442549  412186 logging.go:55] [core] [Channel #251 SubChannel #252]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.443070  412186 logging.go:55] [core] [Channel #255 SubChannel #256]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "error reading server preface: read tcp 127.0.0.1:34302->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.443671  412186 logging.go:55] [core] [Channel #260 SubChannel #261]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.444296  412186 logging.go:55] [core] [Channel #264 SubChannel #265]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.445563  412186 logging.go:55] [core] [Channel #268 SubChannel #269]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.446159  412186 logging.go:55] [core] [Channel #272 SubChannel #273]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
I0707 15:02:07.453556  412186 handler.go:304] Adding GroupVersion authentication.k8s.io v1 to ResourceManager
W0707 15:02:07.453574  412186 genericapiserver.go:819] Skipping API authentication.k8s.io/v1beta1 because it has no resources.
W0707 15:02:07.453578  412186 genericapiserver.go:819] Skipping API authentication.k8s.io/v1alpha1 because it has no resources.
I0707 15:02:07.453760  412186 handler.go:304] Adding GroupVersion authorization.k8s.io v1 to ResourceManager
W0707 15:02:07.453766  412186 genericapiserver.go:819] Skipping API authorization.k8s.io/v1beta1 because it has no resources.
I0707 15:02:07.454159  412186 handler.go:304] Adding GroupVersion autoscaling v2 to ResourceManager
I0707 15:02:07.454459  412186 handler.go:304] Adding GroupVersion autoscaling v1 to ResourceManager
W0707 15:02:07.454467  412186 genericapiserver.go:819] Skipping API autoscaling/v2beta1 because it has no resources.
W0707 15:02:07.454471  412186 genericapiserver.go:819] Skipping API autoscaling/v2beta2 because it has no resources.
I0707 15:02:07.455015  412186 handler.go:304] Adding GroupVersion batch v1 to ResourceManager
W0707 15:02:07.455022  412186 genericapiserver.go:819] Skipping API batch/v1beta1 because it has no resources.
